X,Y
1.000000000,0.000000000
0.994521895,-0.104528463
0.978147601,-0.207911691
0.951056516,-0.309016994
0.913545458,-0.406736643
0.866025404,-0.500000000
0.809016994,-0.587785252
0.743144825,-0.669130606
0.669130606,-0.743144825
0.587785252,-0.809016994
0.500000000,-0.866025404
0.406736643,-0.913545458
0.309016994,-0.951056516
0.207911691,-0.978147601
0.104528463,-0.994521895
0.000000000,-1.000000000
-0.104528463,-0.994521895
-0.207911691,-0.978147601
-0.309016994,-0.951056516
-0.406736643,-0.913545458
-0.500000000,-0.866025404
-0.587785252,-0.809016994
-0.669130606,-0.743144825
-0.743144825,-0.669130606
-0.809016994,-0.587785252
-0.866025404,-0.500000000
-0.913545458,-0.406736643
-0.951056516,-0.309016994
-0.978147601,-0.207911691
-0.994521895,-0.104528463
-1.000000000,0.000000000
-0.994521895,0.104528463
-0.978147601,0.207911691
-0.951056516,0.309016994
-0.913545458,0.406736643
-0.866025404,0.500000000
-0.809016994,0.587785252
-0.743144825,0.669130606
-0.669130606,0.743144825
-0.587785252,0.809016994
-0.500000000,0.866025404
-0.406736643,0.913545458
-0.309016994,0.951056516
-0.207911691,0.978147601
-0.104528463,0.994521895
0.000000000,1.000000000
0.104528463,0.994521895
0.207911691,0.978147601
0.309016994,0.951056516
0.406736643,0.913545458
0.500000000,0.866025404
0.587785252,0.809016994
0.669130606,0.743144825
0.743144825,0.669130606
0.809016994,0.587785252
0.866025404,0.500000000
0.913545458,0.406736643
0.951056516,0.309016994
0.978147601,0.207911691
0.994521895,0.104528463
0.875000000,0.000000000
0.867514254,-0.114210418
0.845185098,-0.226466664
0.808394591,-0.334848003
0.757772228,-0.437500000
0.694184173,-0.532666250
0.618718434,-0.618718434
0.532666250,-0.694184173
0.437500000,-0.757772228
0.334848003,-0.808394591
0.226466664,-0.845185098
0.114210418,-0.867514254
0.000000000,-0.875000000
-0.114210418,-0.867514254
-0.226466664,-0.845185098
-0.334848003,-0.808394591
-0.437500000,-0.757772228
-0.532666250,-0.694184173
-0.618718434,-0.618718434
-0.694184173,-0.532666250
-0.757772228,-0.437500000
-0.808394591,-0.334848003
-0.845185098,-0.226466664
-0.867514254,-0.114210418
-0.875000000,0.000000000
-0.867514254,0.114210418
-0.845185098,0.226466664
-0.808394591,0.334848003
-0.757772228,0.437500000
-0.694184173,0.532666250
-0.618718434,0.618718434
-0.532666250,0.694184173
-0.437500000,0.757772228
-0.334848003,0.808394591
-0.226466664,0.845185098
-0.114210418,0.867514254
0.000000000,0.875000000
0.114210418,0.867514254
0.226466664,0.845185098
0.334848003,0.808394591
0.437500000,0.757772228
0.532666250,0.694184173
0.618718434,0.618718434
0.694184173,0.532666250
0.757772228,0.437500000
0.808394591,0.334848003
0.845185098,0.226466664
0.867514254,0.114210418
0.750000000,0.000000000
0.740766255,-0.117325849
0.713292387,-0.231762746
0.668254893,-0.340492875
0.606762746,-0.440838939
0.530330086,-0.530330086
0.440838939,-0.606762746
0.340492875,-0.668254893
0.231762746,-0.713292387
0.117325849,-0.740766255
0.000000000,-0.750000000
-0.117325849,-0.740766255
-0.231762746,-0.713292387
-0.340492875,-0.668254893
-0.440838939,-0.606762746
-0.530330086,-0.530330086
-0.606762746,-0.440838939
-0.668254893,-0.340492875
-0.713292387,-0.231762746
-0.740766255,-0.117325849
-0.750000000,0.000000000
-0.740766255,0.117325849
-0.713292387,0.231762746
-0.668254893,0.340492875
-0.606762746,0.440838939
-0.530330086,0.530330086
-0.440838939,0.606762746
-0.340492875,0.668254893
-0.231762746,0.713292387
-0.117325849,0.740766255
0.000000000,0.750000000
0.117325849,0.740766255
0.231762746,0.713292387
0.340492875,0.668254893
0.440838939,0.606762746
0.530330086,0.530330086
0.606762746,0.440838939
0.668254893,0.340492875
0.713292387,0.231762746
0.740766255,0.117325849
0.625000000,0.000000000
0.612990800,-0.121931451
0.577424708,-0.239177145
0.519668508,-0.347231396
0.441941738,-0.441941738
0.347231396,-0.519668508
0.239177145,-0.577424708
0.121931451,-0.612990800
0.000000000,-0.625000000
-0.121931451,-0.612990800
-0.239177145,-0.577424708
-0.347231396,-0.519668508
-0.441941738,-0.441941738
-0.519668508,-0.347231396
-0.577424708,-0.239177145
-0.612990800,-0.121931451
-0.625000000,0.000000000
-0.612990800,0.121931451
-0.577424708,0.239177145
-0.519668508,0.347231396
-0.441941738,0.441941738
-0.347231396,0.519668508
-0.239177145,0.577424708
-0.121931451,0.612990800
0.000000000,0.625000000
0.121931451,0.612990800
0.239177145,0.577424708
0.347231396,0.519668508
0.441941738,0.441941738
0.519668508,0.347231396
0.577424708,0.239177145
0.612990800,0.121931451
0.500000000,0.000000000
0.482962913,-0.129409523
0.433012702,-0.250000000
0.353553391,-0.353553391
0.250000000,-0.433012702
0.129409523,-0.482962913
0.000000000,-0.500000000
-0.129409523,-0.482962913
-0.250000000,-0.433012702
-0.353553391,-0.353553391
-0.433012702,-0.250000000
-0.482962913,-0.129409523
-0.500000000,0.000000000
-0.482962913,0.129409523
-0.433012702,0.250000000
-0.353553391,0.353553391
-0.250000000,0.433012702
-0.129409523,0.482962913
0.000000000,0.500000000
0.129409523,0.482962913
0.250000000,0.433012702
0.353553391,0.353553391
0.433012702,0.250000000
0.482962913,0.129409523
0.375000000,0.000000000
0.346454825,-0.143506287
0.265165043,-0.265165043
0.143506287,-0.346454825
0.000000000,-0.375000000
-0.143506287,-0.346454825
-0.265165043,-0.265165043
-0.346454825,-0.143506287
-0.375000000,0.000000000
-0.346454825,0.143506287
-0.265165043,0.265165043
-0.143506287,0.346454825
0.000000000,0.375000000
0.143506287,0.346454825
0.265165043,0.265165043
0.346454825,0.143506287
0.250000000,0.000000000
0.216506351,-0.125000000
0.125000000,-0.216506351
0.000000000,-0.250000000
-0.125000000,-0.216506351
-0.216506351,-0.125000000
-0.250000000,0.000000000
-0.216506351,0.125000000
-0.125000000,0.216506351
0.000000000,0.250000000
0.125000000,0.216506351
0.216506351,0.125000000
0.125000000,0.000000000
0.088388348,-0.088388348
0.000000000,-0.125000000
-0.088388348,-0.088388348
-0.125000000,0.000000000
-0.088388348,0.088388348
0.000000000,0.125000000
0.088388348,0.088388348
0.000000000,0.000000000
