Z,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31
6,75,0,74,14,69,27,62,39,53,49,42,58,29,65,15,69,0,70,-15,69,-29,65,-42,58,-53,49,-62,39,-69,27,-74,14,-75,0,-74,-14,-69,-27,-62,-39,-53,-49,-42,-58,-29,-65,-15,-69,0,-70,15,-69,29,-65,42,-58,53,-49,62,-39,69,-27,74,-14
0,76,0,75,12,70,24,63,36,54,45,42,53,29,59,15,63,0,64,-15,63,-29,59,-42,53,-54,45,-63,36,-70,24,-75,12,-76,0,-75,-12,-70,-24,-63,-36,-54,-45,-42,-53,-29,-59,-15,-63,0,-64,15,-63,29,-59,42,-53,54,-45,63,-36,70,-24,75,-12
-6,75,0,74,11,69,22,62,32,53,41,42,48,29,54,15,57,0,58,-15,57,-29,54,-42,48,-53,41,-62,32,-69,22,-74,11,-75,0,-74,-11,-69,-22,-62,-32,-53,-41,-42,-48,-29,-54,-15,-57,0,-58,15,-57,29,-54,42,-48,53,-41,62,-32,69,-22,74,-11
-11,70,0,69,10,65,20,58,29,49,37,39,44,27,49,14,52,0,53,-14,52,-27,49,-39,44,-49,37,-58,29,-65,20,-69,10,-70,0,-69,-10,-65,-20,-58,-29,-49,-37,-39,-44,-27,-49,-14,-52,0,-53,14,-52,27,-49,39,-44,49,-37,58,-29,65,-20,69,-10
-12,64,0,63,10,59,20,53,29,45,37,36,43,24,48,12,51,0,52,-12,51,-24,48,-36,43,-45,37,-53,29,-59,20,-63,10,-64,0,-63,-10,-59,-20,-53,-29,-45,-37,-36,-43,-24,-48,-12,-51,0,-52,12,-51,24,-48,36,-43,45,-37,53,-29,59,-20,63,-10
-11,58,0,57,10,54,20,48,29,41,37,32,44,22,49,11,52,0,53,-11,52,-22,49,-32,44,-41,37,-48,29,-54,20,-57,10,-58,0,-57,-10,-54,-20,-48,-29,-41,-37,-32,-44,-22,-49,-11,-52,0,-53,11,-52,22,-49,32,-44,41,-37,48,-29,54,-20,57,-10
-6,53,0,52,11,49,22,44,32,37,41,29,48,20,54,10,57,0,58,-10,57,-20,54,-29,48,-37,41,-44,32,-49,22,-52,11,-53,0,-52,-11,-49,-22,-44,-32,-37,-41,-29,-48,-20,-54,-10,-57,0,-58,10,-57,20,-54,29,-48,37,-41,44,-32,49,-22,52,-11
0,52,0,51,12,48,24,43,36,37,45,29,53,20,59,10,63,0,64,-10,63,-20,59,-29,53,-37,45,-43,36,-48,24,-51,12,-52,0,-51,-12,-48,-24,-43,-36,-37,-45,-29,-53,-20,-59,-10,-63,0,-64,10,-63,20,-59,29,-53,37,-45,43,-36,48,-24,51,-12
6,53,0,52,14,49,27,44,39,37,49,29,58,20,65,10,69,0,70,-10,69,-20,65,-29,58,-37,49,-44,39,-49,27,-52,14,-53,0,-52,-14,-49,-27,-44,-39,-37,-49,-29,-58,-20,-65,-10,-69,0,-70,10,-69,20,-65,29,-58,37,-49,44,-39,49,-27,52,-14
11,58,0,57,15,54,29,48,42,41,53,32,62,22,69,11,74,0,75,-11,74,-22,69,-32,62,-41,53,-48,42,-54,29,-57,15,-58,0,-57,-15,-54,-29,-48,-42,-41,-53,-32,-62,-22,-69,-11,-74,0,-75,11,-74,22,-69,32,-62,41,-53,48,-42,54,-29,57,-15
6,64,0,63,14,59,27,53,39,45,49,36,58,24,65,12,69,0,70,-12,69,-24,65,-36,58,-45,49,-53,39,-59,27,-63,14,-64,0,-63,-14,-59,-27,-53,-39,-45,-49,-36,-58,-24,-65,-12,-69,0,-70,12,-69,24,-65,36,-58,45,-49,53,-39,59,-27,63,-14
4,68,0,67,13,63,26,57,38,48,48,38,57,26,63,13,67,0,68,-13,67,-26,63,-38,57,-48,48,-57,38,-63,26,-67,13,-68,0,-67,-13,-63,-26,-57,-38,-48,-48,-38,-57,-26,-63,-13,-67,0,-68,13,-67,26,-63,38,-57,48,-48,57,-38,63,-26,67,-13
0,70,0,69,12,65,24,58,36,49,45,39,53,27,59,14,63,0,64,-14,63,-27,59,-39,53,-49,45,-58,36,-65,24,-69,12,-70,0,-69,-12,-65,-24,-58,-36,-49,-45,-39,-53,-27,-59,-14,-63,0,-64,14,-63,27,-59,39,-53,49,-45,58,-36,65,-24,69,-12
-4,68,0,67,12,63,23,57,33,48,42,38,50,26,55,13,59,0,60,-13,59,-26,55,-38,50,-48,42,-57,33,-63,23,-67,12,-68,0,-67,-12,-63,-23,-57,-33,-48,-42,-38,-50,-26,-55,-13,-59,0,-60,13,-59,26,-55,38,-50,48,-42,57,-33,63,-23,67,-12
-6,64,0,63,11,59,22,53,32,45,41,36,48,24,54,12,57,0,58,-12,57,-24,54,-36,48,-45,41,-53,32,-59,22,-63,11,-64,0,-63,-11,-59,-22,-53,-32,-45,-41,-36,-48,-24,-54,-12,-57,0,-58,12,-57,24,-54,36,-48,45,-41,53,-32,59,-22,63,-11
-4,60,0,59,12,55,23,50,33,42,42,33,50,23,55,12,59,0,60,-12,59,-23,55,-33,50,-42,42,-50,33,-55,23,-59,12,-60,0,-59,-12,-55,-23,-50,-33,-42,-42,-33,-50,-23,-55,-12,-59,0,-60,12,-59,23,-55,33,-50,42,-42,50,-33,55,-23,59,-12
0,58,0,57,12,54,24,48,36,41,45,32,53,22,59,11,63,0,64,-11,63,-22,59,-32,53,-41,45,-48,36,-54,24,-57,12,-58,0,-57,-12,-54,-24,-48,-36,-41,-45,-32,-53,-22,-59,-11,-63,0,-64,11,-63,22,-59,32,-53,41,-45,48,-36,54,-24,57,-12
4,60,0,59,13,55,26,50,38,42,48,33,57,23,63,12,67,0,68,-12,67,-23,63,-33,57,-42,48,-50,38,-55,26,-59,13,-60,0,-59,-13,-55,-26,-50,-38,-42,-48,-33,-57,-23,-63,-12,-67,0,-68,12,-67,23,-63,33,-57,42,-48,50,-38,55,-26,59,-13
0,64,0,63,12,59,24,53,36,45,45,36,53,24,59,12,63,0,64,-12,63,-24,59,-36,53,-45,45,-53,36,-59,24,-63,12,-64,0,-63,-12,-59,-24,-53,-36,-45,-45,-36,-53,-24,-59,-12,-63,0,-64,12,-63,24,-59,36,-53,45,-45,53,-36,59,-24,63,-12
