Z,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31
-29,52,0,51,7,48,13,43,19,37,25,29,29,20,32,10,34,0,35,-10,34,-20,32,-29,29,-37,25,-43,19,-48,13,-51,7,-52,0,-51,-7,-48,-13,-43,-19,-37,-25,-29,-29,-20,-32,-10,-34,0,-35,10,-34,20,-32,29,-29,37,-25,43,-19,48,-13,51,-7
-26,47,0,46,7,43,15,39,21,33,27,26,32,18,35,9,37,0,38,-9,37,-18,35,-26,32,-33,27,-39,21,-43,15,-46,7,-47,0,-46,-7,-43,-15,-39,-21,-33,-27,-26,-32,-18,-35,-9,-37,0,-38,9,-37,18,-35,26,-32,33,-27,39,-21,43,-15,46,-7
-22,42,0,41,8,39,16,35,23,30,30,23,35,16,39,8,41,0,42,-8,41,-16,39,-23,35,-30,30,-35,23,-39,16,-41,8,-42,0,-41,-8,-39,-16,-35,-23,-30,-30,-23,-35,-16,-39,-8,-41,0,-42,8,-41,16,-39,23,-35,30,-30,35,-23,39,-16,41,-8
-17,38,0,37,9,35,18,32,26,27,33,21,39,15,43,7,46,0,47,-7,46,-15,43,-21,39,-27,33,-32,26,-35,18,-37,9,-38,0,-37,-9,-35,-18,-32,-26,-27,-33,-21,-39,-15,-43,-7,-46,0,-47,7,-46,15,-43,21,-39,27,-33,32,-26,35,-18,37,-9
-12,35,0,34,10,32,20,29,29,25,37,19,43,13,48,7,51,0,52,-7,51,-13,48,-19,43,-25,37,-29,29,-32,20,-34,10,-35,0,-34,-10,-32,-20,-29,-29,-25,-37,-19,-43,-13,-48,-7,-51,0,-52,7,-51,13,-48,19,-43,25,-37,29,-29,32,-20,34,-10
-6,34,0,33,11,31,22,28,32,24,41,19,48,13,54,7,57,0,58,-7,57,-13,54,-19,48,-24,41,-28,32,-31,22,-33,11,-34,0,-33,-11,-31,-22,-28,-32,-24,-41,-19,-48,-13,-54,-7,-57,0,-58,7,-57,13,-54,19,-48,24,-41,28,-32,31,-22,33,-11
0,33,0,32,12,30,24,27,36,23,45,18,53,13,59,6,63,0,64,-6,63,-13,59,-18,53,-23,45,-27,36,-30,24,-32,12,-33,0,-32,-12,-30,-24,-27,-36,-23,-45,-18,-53,-13,-59,-6,-63,0,-64,6,-63,13,-59,18,-53,23,-45,27,-36,30,-24,32,-12
6,34,0,33,14,31,27,28,39,24,49,19,58,13,65,7,69,0,70,-7,69,-13,65,-19,58,-24,49,-28,39,-31,27,-33,14,-34,0,-33,-14,-31,-27,-28,-39,-24,-49,-19,-58,-13,-65,-7,-69,0,-70,7,-69,13,-65,19,-58,24,-49,28,-39,31,-27,33,-14
12,35,0,34,15,32,29,29,42,25,54,19,63,13,70,7,75,0,76,-7,75,-13,70,-19,63,-25,54,-29,42,-32,29,-34,15,-35,0,-34,-15,-32,-29,-29,-42,-25,-54,-19,-63,-13,-70,-7,-75,0,-76,7,-75,13,-70,19,-63,25,-54,29,-42,32,-29,34,-15
17,38,0,37,16,35,31,32,45,27,57,21,67,15,75,7,79,0,81,-7,79,-15,75,-21,67,-27,57,-32,45,-35,31,-37,16,-38,0,-37,-16,-35,-31,-32,-45,-27,-57,-21,-67,-15,-75,-7,-79,0,-81,7,-79,15,-75,21,-67,27,-57,32,-45,35,-31,37,-16
22,42,0,41,17,39,33,35,48,30,61,23,72,16,79,8,84,0,86,-8,84,-16,79,-23,72,-30,61,-35,48,-39,33,-41,17,-42,0,-41,-17,-39,-33,-35,-48,-30,-61,-23,-72,-16,-79,-8,-84,0,-86,8,-84,16,-79,23,-72,30,-61,35,-48,39,-33,41,-17
26,47,0,46,18,43,34,39,50,33,64,26,75,18,83,9,88,0,90,-9,88,-18,83,-26,75,-33,64,-39,50,-43,34,-46,18,-47,0,-46,-18,-43,-34,-39,-50,-33,-64,-26,-75,-18,-83,-9,-88,0,-90,9,-88,18,-83,26,-75,33,-64,39,-50,43,-34,46,-18
29,52,0,51,18,48,36,43,52,37,66,29,77,20,86,10,91,0,93,-10,91,-20,86,-29,77,-37,66,-43,52,-48,36,-51,18,-52,0,-51,-18,-48,-36,-43,-52,-37,-66,-29,-77,-20,-86,-10,-91,0,-93,10,-91,20,-86,29,-77,37,-66,43,-52,48,-36,51,-18
30,58,0,57,18,54,36,48,52,41,66,32,78,22,87,11,92,0,94,-11,92,-22,87,-32,78,-41,66,-48,52,-54,36,-57,18,-58,0,-57,-18,-54,-36,-48,-52,-41,-66,-32,-78,-22,-87,-11,-92,0,-94,11,-92,22,-87,32,-78,41,-66,48,-52,54,-36,57,-18
25,64,0,63,17,59,34,53,49,45,63,36,74,24,82,12,87,0,89,-12,87,-24,82,-36,74,-45,63,-53,49,-59,34,-63,17,-64,0,-63,-17,-59,-34,-53,-49,-45,-63,-36,-74,-24,-82,-12,-87,0,-89,12,-87,24,-82,36,-74,45,-63,53,-49,59,-34,63,-17
24,70,0,69,17,65,34,58,49,49,62,39,73,27,81,14,86,0,88,-14,86,-27,81,-39,73,-49,62,-58,49,-65,34,-69,17,-70,0,-69,-17,-65,-34,-58,-49,-49,-62,-39,-73,-27,-81,-14,-86,0,-88,14,-86,27,-81,39,-73,49,-62,58,-49,65,-34,69,-17
21,76,0,75,17,70,33,63,47,54,60,42,71,29,79,15,83,0,85,-15,83,-29,79,-42,71,-54,60,-63,47,-70,33,-75,17,-76,0,-75,-17,-70,-33,-63,-47,-54,-60,-42,-71,-29,-79,-15,-83,0,-85,15,-83,29,-79,42,-71,54,-60,63,-47,70,-33,75,-17
18,82,0,80,16,76,31,68,46,58,58,46,68,31,76,16,80,0,82,-16,80,-31,76,-46,68,-58,58,-68,46,-76,31,-80,16,-82,0,-80,-16,-76,-31,-68,-46,-58,-58,-46,-68,-31,-76,-16,-80,0,-82,16,-80,31,-76,46,-68,58,-58,68,-46,76,-31,80,-16
12,85,0,83,15,79,29,71,42,60,54,47,63,33,70,17,75,0,76,-17,75,-33,70,-47,63,-60,54,-71,42,-79,29,-83,15,-85,0,-83,-15,-79,-29,-71,-42,-60,-54,-47,-63,-33,-70,-17,-75,0,-76,17,-75,33,-70,47,-63,60,-54,71,-42,79,-29,83,-15
6,88,0,86,14,81,27,73,39,62,49,49,58,34,65,17,69,0,70,-17,69,-34,65,-49,58,-62,49,-73,39,-81,27,-86,14,-88,0,-86,-14,-81,-27,-73,-39,-62,-49,-49,-58,-34,-65,-17,-69,0,-70,17,-69,34,-65,49,-58,62,-49,73,-39,81,-27,86,-14
0,89,0,87,12,82,24,74,36,63,45,49,53,34,59,17,63,0,64,-17,63,-34,59,-49,53,-63,45,-74,36,-82,24,-87,12,-89,0,-87,-12,-82,-24,-74,-36,-63,-45,-49,-53,-34,-59,-17,-63,0,-64,17,-63,34,-59,49,-53,63,-45,74,-36,82,-24,87,-12
-6,88,0,86,11,81,22,73,32,62,41,49,48,34,54,17,57,0,58,-17,57,-34,54,-49,48,-62,41,-73,32,-81,22,-86,11,-88,0,-86,-11,-81,-22,-73,-32,-62,-41,-49,-48,-34,-54,-17,-57,0,-58,17,-57,34,-54,49,-48,62,-41,73,-32,81,-22,86,-11
-12,85,0,83,10,79,20,71,29,60,37,47,43,33,48,17,51,0,52,-17,51,-33,48,-47,43,-60,37,-71,29,-79,20,-83,10,-85,0,-83,-10,-79,-20,-71,-29,-60,-37,-47,-43,-33,-48,-17,-51,0,-52,17,-51,33,-48,47,-43,60,-37,71,-29,79,-20,83,-10
-18,82,0,80,9,76,18,68,26,58,33,46,38,31,42,16,45,0,46,-16,45,-31,42,-46,38,-58,33,-68,26,-76,18,-80,9,-82,0,-80,-9,-76,-18,-68,-26,-58,-33,-46,-38,-31,-42,-16,-45,0,-46,16,-45,31,-42,46,-38,58,-33,68,-26,76,-18,80,-9
-21,76,0,75,8,70,16,63,24,54,30,42,36,29,40,15,42,0,43,-15,42,-29,40,-42,36,-54,30,-63,24,-70,16,-75,8,-76,0,-75,-8,-70,-16,-63,-24,-54,-30,-42,-36,-29,-40,-15,-42,0,-43,15,-42,29,-40,42,-36,54,-30,63,-24,70,-16,75,-8
-24,70,0,69,8,65,15,58,22,49,28,39,33,27,37,14,39,0,40,-14,39,-27,37,-39,33,-49,28,-58,22,-65,15,-69,8,-70,0,-69,-8,-65,-15,-58,-22,-49,-28,-39,-33,-27,-37,-14,-39,0,-40,14,-39,27,-37,39,-33,49,-28,58,-22,65,-15,69,-8
-25,64,0,63,8,59,15,53,22,45,28,36,32,24,36,12,38,0,39,-12,38,-24,36,-36,32,-45,28,-53,22,-59,15,-63,8,-64,0,-63,-8,-59,-15,-53,-22,-45,-28,-36,-32,-24,-36,-12,-38,0,-39,12,-38,24,-36,36,-32,45,-28,53,-22,59,-15,63,-8
-24,58,0,57,8,54,15,48,22,41,28,32,33,22,37,11,39,0,40,-11,39,-22,37,-32,33,-41,28,-48,22,-54,15,-57,8,-58,0,-57,-8,-54,-15,-48,-22,-41,-28,-32,-33,-22,-37,-11,-39,0,-40,11,-39,22,-37,32,-33,41,-28,48,-22,54,-15,57,-8
-21,52,0,51,8,48,16,43,24,37,30,29,36,20,40,10,42,0,43,-10,42,-20,40,-29,36,-37,30,-43,24,-48,16,-51,8,-52,0,-51,-8,-48,-16,-43,-24,-37,-30,-29,-36,-20,-40,-10,-42,0,-43,10,-42,20,-40,29,-36,37,-30,43,-24,48,-16,51,-8
-18,46,0,45,9,42,18,38,26,33,33,26,38,18,42,9,45,0,46,-9,45,-18,42,-26,38,-33,33,-38,26,-42,18,-45,9,-46,0,-45,-9,-42,-18,-38,-26,-33,-33,-26,-38,-18,-42,-9,-45,0,-46,9,-45,18,-42,26,-38,33,-33,38,-26,42,-18,45,-9
-12,43,0,42,10,40,20,36,29,30,37,24,43,16,48,8,51,0,52,-8,51,-16,48,-24,43,-30,37,-36,29,-40,20,-42,10,-43,0,-42,-10,-40,-20,-36,-29,-30,-37,-24,-43,-16,-48,-8,-51,0,-52,8,-51,16,-48,24,-43,30,-37,36,-29,40,-20,42,-10
-6,40,0,39,11,37,22,33,32,28,41,22,48,15,54,8,57,0,58,-8,57,-15,54,-22,48,-28,41,-33,32,-37,22,-39,11,-40,0,-39,-11,-37,-22,-33,-32,-28,-41,-22,-48,-15,-54,-8,-57,0,-58,8,-57,15,-54,22,-48,28,-41,33,-32,37,-22,39,-11
0,39,0,38,12,36,24,32,36,28,45,22,53,15,59,8,63,0,64,-8,63,-15,59,-22,53,-28,45,-32,36,-36,24,-38,12,-39,0,-38,-12,-36,-24,-32,-36,-28,-45,-22,-53,-15,-59,-8,-63,0,-64,8,-63,15,-59,22,-53,28,-45,32,-36,36,-24,38,-12
6,40,0,39,14,37,27,33,39,28,49,22,58,15,65,8,69,0,70,-8,69,-15,65,-22,58,-28,49,-33,39,-37,27,-39,14,-40,0,-39,-14,-37,-27,-33,-39,-28,-49,-22,-58,-15,-65,-8,-69,0,-70,8,-69,15,-65,22,-58,28,-49,33,-39,37,-27,39,-14
12,43,0,42,15,40,29,36,42,30,54,24,63,16,70,8,75,0,76,-8,75,-16,70,-24,63,-30,54,-36,42,-40,29,-42,15,-43,0,-42,-15,-40,-29,-36,-42,-30,-54,-24,-63,-16,-70,-8,-75,0,-76,8,-75,16,-70,24,-63,30,-54,36,-42,40,-29,42,-15
18,46,0,45,16,42,31,38,46,33,58,26,68,18,76,9,80,0,82,-9,80,-18,76,-26,68,-33,58,-38,46,-42,31,-45,16,-46,0,-45,-16,-42,-31,-38,-46,-33,-58,-26,-68,-18,-76,-9,-80,0,-82,9,-80,18,-76,26,-68,33,-58,38,-46,42,-31,45,-16
21,52,0,51,17,48,33,43,47,37,60,29,71,20,79,10,83,0,85,-10,83,-20,79,-29,71,-37,60,-43,47,-48,33,-51,17,-52,0,-51,-17,-48,-33,-43,-47,-37,-60,-29,-71,-20,-79,-10,-83,0,-85,10,-83,20,-79,29,-71,37,-60,43,-47,48,-33,51,-17
24,58,0,57,17,54,34,48,49,41,62,32,73,22,81,11,86,0,88,-11,86,-22,81,-32,73,-41,62,-48,49,-54,34,-57,17,-58,0,-57,-17,-54,-34,-48,-49,-41,-62,-32,-73,-22,-81,-11,-86,0,-88,11,-86,22,-81,32,-73,41,-62,48,-49,54,-34,57,-17
19,64,0,63,16,59,32,53,46,45,59,36,69,24,77,12,81,0,83,-12,81,-24,77,-36,69,-45,59,-53,46,-59,32,-63,16,-64,0,-63,-16,-59,-32,-53,-46,-45,-59,-36,-69,-24,-77,-12,-81,0,-83,12,-81,24,-77,36,-69,45,-59,53,-46,59,-32,63,-16
17,71,0,70,16,66,31,59,45,50,57,39,67,27,75,14,79,0,81,-14,79,-27,75,-39,67,-50,57,-59,45,-66,31,-70,16,-71,0,-70,-16,-66,-31,-59,-45,-50,-57,-39,-67,-27,-75,-14,-79,0,-81,14,-79,27,-75,39,-67,50,-57,59,-45,66,-31,70,-16
13,77,0,76,15,71,29,64,43,54,54,43,64,29,71,15,76,0,77,-15,76,-29,71,-43,64,-54,54,-64,43,-71,29,-76,15,-77,0,-76,-15,-71,-29,-64,-43,-54,-54,-43,-64,-29,-71,-15,-76,0,-77,15,-76,29,-71,43,-64,54,-54,64,-43,71,-29,76,-15
7,81,0,79,14,75,27,67,39,57,50,45,59,31,66,16,70,0,71,-16,70,-31,66,-45,59,-57,50,-67,39,-75,27,-79,14,-81,0,-79,-14,-75,-27,-67,-39,-57,-50,-45,-59,-31,-66,-16,-70,0,-71,16,-70,31,-66,45,-59,57,-50,67,-39,75,-27,79,-14
0,83,0,81,12,77,24,69,36,59,45,46,53,32,59,16,63,0,64,-16,63,-32,59,-46,53,-59,45,-69,36,-77,24,-81,12,-83,0,-81,-12,-77,-24,-69,-36,-59,-45,-46,-53,-32,-59,-16,-63,0,-64,16,-63,32,-59,46,-53,59,-45,69,-36,77,-24,81,-12
-7,81,0,79,11,75,22,67,32,57,40,45,47,31,53,16,56,0,57,-16,56,-31,53,-45,47,-57,40,-67,32,-75,22,-79,11,-81,0,-79,-11,-75,-22,-67,-32,-57,-40,-45,-47,-31,-53,-16,-56,0,-57,16,-56,31,-53,45,-47,57,-40,67,-32,75,-22,79,-11
